monetary_goal,finish_date,poverty_level
1717.3,04/02/2025,mid
2927.51,15/08/2023,mid
3260.66,03/09/2024,low
1472.24,13/02/2024,low
1115.97,29/08/2024,mid
1835.12,30/06/2023,mid
4765.72,05/02/2025,high
2627.58,13/12/2024,high
4395.65,04/08/2023,high
2663.13,03/07/2023,mid
1696.27,24/12/2024,low
3144.23,19/07/2023,low
948.84,05/03/2024,low
2733.14,09/05/2025,high
4644.97,02/09/2024,low
3405.43,20/02/2025,low
854.92,11/07/2023,low
4919.3,13/03/2025,low
4393.44,23/12/2024,low
4276.74,29/07/2023,high
